productId,name,active,productFamily,candidateCode,observedEvidence,bucket,decision,reason
256,Curl de Bíceps MO Series | Obelix,false,SELECTORIZED_MACHINE,BICEPS_CURL,NAME=Curl de Bíceps MO Series | Obelix | FAMILY=SELECTORIZED_MACHINE | TRUSTED_CATEGORY=Máquinas Selectorizadas[SEMANTIC_STRONG]; EQUIPAMIENTO[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Peso máximo de usuario: 120 kg.; Pila de Stack: 80 kg.; Espesor de material: 3 mm.; Estructura: Acero; Marca: OBELIX,DEDICATED_MACHINE,KEEP_DEFERRED,"Explicit product-function wording is credible, but the candidate remains deferred by the recommendation gate."
258,Extensión de Tríceps MO Series | Obelix,true,,TRICEPS_EXTENSION,NAME=Extensión de Tríceps MO Series | Obelix | FAMILY=UNKNOWN | STRUCTURED_FEATURE=Peso máximo de usuario: 120 kg.; Pila de Stack: 75 kg.; Espesor de material: 3 mm.; Estructura: Acero; Marca: OBELIX,DEDICATED_MACHINE,KEEP_DEFERRED,"Explicit product-function wording is credible, but the candidate remains deferred by the recommendation gate."
282,Patada de Glúteo MO Series | Obelix,false,SELECTORIZED_MACHINE,GLUTE_KICKBACK,NAME=Patada de Glúteo MO Series | Obelix | FAMILY=SELECTORIZED_MACHINE | TRUSTED_CATEGORY=Máquinas Selectorizadas[SEMANTIC_STRONG]; EQUIPAMIENTO[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Peso máximo de usuario: 120 kg.; Pila de Stack: 55 kg.; Estructura: Acero; Marca: OBELIX,DEDICATED_MACHINE,KEEP_DEFERRED,"Explicit product-function wording is credible, but the candidate remains deferred by the recommendation gate."
386,Pack Squat & Bench PROmachine,false,,SQUAT,NAME=Pack Squat & Bench PROmachine | FAMILY=UNKNOWN | STRUCTURED_FEATURE=Categoría: Olímpico; Peso máximo de carga: Atril: 120 kg. / Banco: 200 kg. (incluido peso del usuario)  /  Barra: 700 lb. / 317 kg.; Diámetro de agarre: Barra: 28 mm.; Material: Discos: Acero recubiertos en caucho.  /  Barra: Acero tipo A3; Marca: PROMACHINE,PACK,REJECT,PACK does not establish the deferred exercise capability as Product Truth.
392,Squat Rack | HWM,false,RACK_CAGE,SQUAT,NAME=Squat Rack | HWM | FAMILY=RACK_CAGE | TRUSTED_CATEGORY=Power Racks y Bancos[SEMANTIC_STRONG] | STRUCTURED_FEATURE=Categoría: Olímpico; Peso máximo de carga: 300 kg.; Espesor de material: 2 mm.; Estructura: Acero; Marca: HWM,RACK_CAGE,REJECT,RACK_CAGE does not establish the deferred exercise capability as Product Truth.
450,Hack Squat T8 Series | Obelix,false,PLATE_LOADED_MACHINE,SQUAT,NAME=Hack Squat T8 Series | Obelix | FAMILY=PLATE_LOADED_MACHINE | TRUSTED_CATEGORY=Máquinas con Carga de Discos[SEMANTIC_STRONG]; EQUIPAMIENTO[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Clasificación de Uso: USO INTENSIVO - COMERCIAL; Categoría: Olímpico; Peso máximo de usuario: 150 kg.; Peso máximo de carga: 250 kg. (por lado); Espesor de material: 3 mm.; Diámetro de manga: Ø50 mm; Marca: OBELIX,DEDICATED_MACHINE,KEEP_DEFERRED,"Explicit product-function wording is credible, but the candidate remains deferred by the recommendation gate."
451,Leg Press 45° V8 Series | Obelix,false,PLATE_LOADED_MACHINE,LEG_PRESS,NAME=Leg Press 45° V8 Series | Obelix | FAMILY=PLATE_LOADED_MACHINE | TRUSTED_CATEGORY=Máquinas con Carga de Discos[SEMANTIC_STRONG]; EQUIPAMIENTO[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Clasificación de Uso: USO INTENSIVO - COMERCIAL; Categoría: Olímpico; Peso máximo de usuario: 150 kg.; Peso máximo de carga: 350 kg.; Marca: OBELIX; Peso máximo de almacenamiento: 250 kg.,DEDICATED_MACHINE,KEEP_DEFERRED,"Explicit product-function wording is credible, but the candidate remains deferred by the recommendation gate."
477,Squat Rack V8 Series | Obelix,false,RACK_CAGE,SQUAT,NAME=Squat Rack V8 Series | Obelix | FAMILY=RACK_CAGE | TRUSTED_CATEGORY=Squat Racks[SEMANTIC_STRONG]; Racks[SEMANTIC_STRONG]; EQUIPAMIENTO[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Clasificación de Uso: USO INTENSIVO - COMERCIAL; Categoría: Olímpico; Peso máximo de carga: 380 kg.; Estructura: Acero Q235; Marca: OBELIX; Peso máximo de almacenamiento: 250 kg.,RACK_CAGE,REJECT,RACK_CAGE does not establish the deferred exercise capability as Product Truth.
488,Curl de Bíceps V8 Series | Obelix,false,SELECTORIZED_MACHINE,BICEPS_CURL,NAME=Curl de Bíceps V8 Series | Obelix | FAMILY=SELECTORIZED_MACHINE | TRUSTED_CATEGORY=Máquinas Selectorizadas[SEMANTIC_STRONG]; EQUIPAMIENTO[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Clasificación de Uso: USO INTENSIVO - COMERCIAL; Peso máximo de usuario: 150 kg.; Pila de Stack: 195 Lbs (88.5 kg) + 7.5 Lbs (3.5 kg); Estructura: Acero Q235; Marca: OBELIX,DEDICATED_MACHINE,KEEP_DEFERRED,"Explicit product-function wording is credible, but the candidate remains deferred by the recommendation gate."
659,Set Squat Bench PROmachine,false,,SQUAT,NAME=Set Squat Bench PROmachine | FAMILY=UNKNOWN | STRUCTURED_FEATURE=Categoría: Olímpico; Peso máximo de carga: Atril: 150 kg. / Banco: 200 kg. (Incluido peso de usuario).,PACK,REJECT,PACK does not establish the deferred exercise capability as Product Truth.
746,Squat Rack | KONG,false,RACK_CAGE,SQUAT,NAME=Squat Rack | KONG | FAMILY=RACK_CAGE | TRUSTED_CATEGORY=Power Racks y Bancos[SEMANTIC_STRONG] | STRUCTURED_FEATURE=Categoría: Olímpico; Peso máximo de usuario: Barra dominadas: 250 kg.; Peso máximo de carga: 1000 lb. / 454 kg.; Diámetro de agarre: Barra dominadas: 30 mm.; Material: Acero; Marca: HWM,RACK_CAGE,REJECT,RACK_CAGE does not establish the deferred exercise capability as Product Truth.
761,Squat Rack Lite Series | HWM®,true,RACK_CAGE,SQUAT,NAME=Squat Rack Lite Series | HWM® | FAMILY=RACK_CAGE | TRUSTED_CATEGORY=Half Racks[SEMANTIC_STRONG]; Máquinas[SEMANTIC_WEAK]; Power Racks y Bancos[SEMANTIC_STRONG]; Racks[SEMANTIC_STRONG]; EQUIPAMIENTO[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Categoría: Olímpico; Peso máximo de usuario: 100 kg.; Peso máximo de carga: 200 kg.; Espesor de material: 1.5 mm; Estructura: Acero; Marca: HWM,RACK_CAGE,REJECT,RACK_CAGE does not establish the deferred exercise capability as Product Truth.
788,Banco Sentadilla Búlgara ZR Series | PROmachine,true,BENCH,SQUAT,NAME=Banco Sentadilla Búlgara ZR Series | PROmachine | FAMILY=BENCH | TRUSTED_CATEGORY=Bancos Ergo[SEMANTIC_STRONG]; Bancos Especiales[SEMANTIC_STRONG]; Bancos[SEMANTIC_STRONG]; EQUIPAMIENTO[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Clasificación de Uso: USO REGULAR - HOGAR; Peso máximo de carga: 150 kg.; Estructura: Acero; Marca: PROMACHINE,BENCH_OR_SUPPORT,REJECT,BENCH_OR_SUPPORT does not establish the deferred exercise capability as Product Truth.
797,Safety Squat Bar Black Series | HWM,true,,SQUAT,"NAME=Safety Squat Bar Black Series | HWM | FAMILY=UNKNOWN | TRUSTED_CATEGORY=Barras Olímpicas[SEMANTIC_STRONG] | STRUCTURED_FEATURE=Categoría: Olímpico; Carga máxima: 1500 lb. / 680 kg.; Diámetro de agarre: 38 mm; Diámetro de manga: Ø50 mm; Rodamiento / Cojinete: Barra fija, no contiene bujes ni rodamientos; Material: Acero; Marca: HWM",ACCESSORY,REJECT,ACCESSORY does not establish the deferred exercise capability as Product Truth.
889,ACCESORIOS DE LEG PRESS PARA JAULA,false,RACK_CAGE,LEG_PRESS,NAME=ACCESORIOS DE LEG PRESS PARA JAULA | FAMILY=RACK_CAGE,TEXTUAL_FALSE_POSITIVE,REJECT,TEXTUAL_FALSE_POSITIVE does not establish the deferred exercise capability as Product Truth.
895,Bulgarian Squat | Accesorio Power Rack Heavy Duty Series | HWM,false,MACHINE_ATTACHMENT,SQUAT,"NAME=Bulgarian Squat | Accesorio Power Rack Heavy Duty Series | HWM | FAMILY=MACHINE_ATTACHMENT | TRUSTED_CATEGORY=Accesorios y Complementos[SEMANTIC_STRONG] | STRUCTURED_FEATURE=Peso máximo de carga: 150 kg; Material: Acero, Poliuretano",ACCESSORY,REJECT,ACCESSORY does not establish the deferred exercise capability as Product Truth.
930,Bulgarian Squat (Accesorio Jaula Hell - MJHWM2) | HWM,true,MACHINE_ATTACHMENT,SQUAT,NAME=Bulgarian Squat (Accesorio Jaula Hell - MJHWM2) | HWM | FAMILY=MACHINE_ATTACHMENT | TRUSTED_CATEGORY=Accesorios para Racks[SEMANTIC_STRONG]; Accesorios para Máquinas[SEMANTIC_WEAK]; ACCESORIOS[SEMANTIC_WEAK] | STRUCTURED_FEATURE=Peso máximo de carga: 100 kg.; Diámetro de manga: Diámetro pasador: 25 mm. (apto para racks con perforaciones de 26 mm. y 60 mm. de ancho del perfil); Marca: HWM,ACCESSORY,REJECT,ACCESSORY does not establish the deferred exercise capability as Product Truth.
975,Squat Rack Lat Pull Down | PROmachine,false,RACK_CAGE,SQUAT,NAME=Squat Rack Lat Pull Down | PROmachine | FAMILY=RACK_CAGE | STRUCTURED_FEATURE=Peso máximo de usuario: 100 kg.; Peso máximo de carga: 100 kg.,RACK_CAGE,REJECT,RACK_CAGE does not establish the deferred exercise capability as Product Truth.
