productId,productName,categoryName,categoryTrustClass,currentPrimaryFamily,currentSecondaryFamilies,manualCableMachineTruth,candidateEvidenceDecision,wouldReceiveCableMachine,classificationImpact,notes
176,Crossover Lat Pulldown ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Name already gives explicit cable evidence; category and feature 65 agree.
288,Polea Cruzada MO Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Category and stack/ratio features are coherent cable evidence.
494,Polea Cruzada Corta V8 Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
495,Polea Cruzada V8 Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
534,Polea de Muro 2.0 ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Category plus cable-ratio feature is clean.
1021,Multipower ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,PLATE_LOADED_MACHINE,,TRUE_POSITIVE_SECONDARY_HYBRID,ENABLE_WITH_GUARD,YES,ADD_SECONDARY_CABLE_MACHINE,Hybrid Smith/rack plus station de cable confirmed by category and structured cable features.
1187,Dual Cable Cross Max II MO Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Stack feature confirms cable station even without feature 65.
1207,Multi Estación 4 Stacks V8 Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,OTHER_TO_PRIMARY_CABLE_MACHINE,Four stack entries and category evidence support cable-machine primary.
1427,Polea de Muro 1.0 ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
1429,Dual Cable Cross MAX 1.0 Lite Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
1430,Multipower MO 2.0 Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,PLATE_LOADED_MACHINE,,TRUE_POSITIVE_SECONDARY_HYBRID,ENABLE_WITH_GUARD,YES,ADD_SECONDARY_CABLE_MACHINE,Plate-loaded primary with explicit stack and cable-ratio evidence.
1444,Multi Estación 5 Stacks V8 Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,OTHER_TO_PRIMARY_CABLE_MACHINE,Five-stack multi station is a true cable-machine family member.
1445,Multi Estación 8 Stacks V8 Series | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,OTHER_TO_PRIMARY_CABLE_MACHINE,Eight-stack multi station is a true cable-machine family member.
1450,Máquina Home Gym PRO FZ402B 68kg | Forza,Máquinas con Poleas,SEMANTIC_STRONG,,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,OTHER_TO_PRIMARY_CABLE_MACHINE,Stack plus cable-ratio feature gives sufficient structured cable evidence.
1451,Máquina Home Gym ULTRA FZ410 68kg | Forza,Máquinas con Poleas,SEMANTIC_STRONG,,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,OTHER_TO_PRIMARY_CABLE_MACHINE,Stack plus cable-ratio feature gives sufficient structured cable evidence.
1455,Wall Crossover Black ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
1516,Polea Cruzada MO 2.0 | Obelix®,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
1517,Polea Cruzada Corta MO 2.0 | Obelix®,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
1921,Dual Crossover MO 2.0 | Obelix®,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
1922,Multipower MO 2.0 | Obelix®,Máquinas con Poleas,SEMANTIC_STRONG,PLATE_LOADED_MACHINE,,TRUE_POSITIVE_SECONDARY_HYBRID,ENABLE_WITH_GUARD,YES,ADD_SECONDARY_CABLE_MACHINE,Plate-loaded primary with stack and cable-ratio evidence.
1974,Pack Crossover + Banco Regulable MO 2.0 | Obelix,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,BENCH,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Pack already carries primary cable semantics.
2133,Smith Machine Half Rack ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,PLATE_LOADED_MACHINE,,FALSE_POSITIVE_OTHER_PRODUCT,REJECT_FALSE_MEMBER,NO,NO_CHANGE_BLOCKED_FALSE_MEMBER,Category membership is not supported by cable-specific features or description text.
2134,Multifuncional Smith ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,PLATE_LOADED_MACHINE,,TRUE_POSITIVE_SECONDARY_HYBRID,ENABLE_WITH_GUARD,YES,ADD_SECONDARY_CABLE_MACHINE,Trusted category plus explicit polea-scoped features recover the known hybrid.
2139,Polea Dual Multifuncional 70kg ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
2142,Polea Alta/Remo 70kg ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,CABLE_MACHINE,,TRUE_POSITIVE_PRIMARY,ENABLE_WITH_GUARD,YES,UNCHANGED_ALREADY_CABLE_MACHINE,Current primary already correct.
2182,Multifuncional Trainer ZR Series | PROmachine,Máquinas con Poleas,SEMANTIC_STRONG,PLATE_LOADED_MACHINE,,TRUE_POSITIVE_SECONDARY_HYBRID,ENABLE_WITH_GUARD,YES,ADD_SECONDARY_CABLE_MACHINE,Category plus structured polea signals support hybrid recovery.
437,Soga de Tríceps - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Cable-machine attachment not a standalone cable machine.
454,Barra Lat Pull Down - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Attachment bar only.
