capabilityCode,totalAssignments,directAssignments,supportedAssignments,activeProducts,inactiveOrHistoricalProducts,productFamilies,multiAssignmentProducts,highRevenueExamples,unmatchedExplicitCandidates,classification,note
LEG_EXTENSION,11,11,0,4,7,PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE|UNKNOWN,2,1269:Extensión de Cuádriceps MO 2.0 Obelix®:22226866 | 492:Extensión de Cuadriceps V8 Series | Obelix:14498902 | 280:Extensión de Cuádriceps MO Series | Obelix:13707047,0,HEALTHY,
LEG_CURL,20,20,0,8,12,BENCH|PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE|UNKNOWN,1,1551:Banco Multifunción Leg/Curl Extension ZR Series | PROmachine:48012738 | 1118:Banco Preolímpico Multifuncional Pro | Forza:31337249 | 1619:Pack Dúo Leg Curl/Extension MO 2.0 | Obelix:11474915,0,HEALTHY,
HIP_THRUST,18,18,0,9,9,BENCH|PLATE_LOADED_MACHINE|UNKNOWN,0,245:Banco Hip Thrust 1.0 | HWM:24385746 | 1337:Banco Hip Thrust 2.0 | HWM®:24362002 | 1234:Hip Thrust V8 Series | Obelix:13765563,0,HEALTHY,
CHEST_PRESS,7,7,0,2,5,PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE|UNKNOWN,0,271:Press de Pectoral MO Series | Obelix:6875234 | 1265:Press de Pectoral MO 2.0 Obelix®:3314975 | 486:Press de Pectoral V8 Series | Obelix:2127985,0,SPARSE_BUT_VALID,
PEC_DECK,1,1,0,0,1,SELECTORIZED_MACHINE,0,272:Contractora de Pectoral MO Series | Obelix:6072126,0,SPARSE_BUT_VALID,Low observed count; inspect the single positive and catalog candidates manually.
LAT_PULLDOWN,24,24,0,8,16,CABLE_MACHINE|PLATE_LOADED_MACHINE|UNKNOWN,13,176:Crossover Lat Pulldown ZR Series | PROmachine:95687805 | 899:Lat Pulldown Heavy Duty Series | HWM®:41480004 | 1506:Dual Polea Alta / Remo Bajo MO 2.0 | Obelix®:40319086,0,HEALTHY,
ROW,25,25,0,9,16,CABLE_MACHINE|PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE|UNKNOWN,11,1506:Dual Polea Alta / Remo Bajo MO 2.0 | Obelix®:40319086 | 1025:Dual Polea Alta/Remo V8 Series | Obelix:16776670 | 1207:Multi Estación 4 Stacks V8 Series | Obelix:13964972,1,POTENTIAL_GAP,
SHOULDER_PRESS,6,6,0,2,4,PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE|UNKNOWN,0,259:Press de Hombro MO Series | Obelix:3959963 | 1500:Press de Hombro MO 2.0 Obelix®:3669971 | 485:Press de Hombro V8 Series | Obelix:839994,0,SPARSE_BUT_VALID,
PULL_UP,31,13,18,19,12,BENCH|BODYWEIGHT_GYMNASTICS|CABLE_MACHINE|PLATE_LOADED_MACHINE|RACK_CAGE|SELECTORIZED_MACHINE|UNKNOWN,5,176:Crossover Lat Pulldown ZR Series | PROmachine:95687805 | 343:Jaula Smith Machine | PROmachine:51307860.9999 | 1543:Power Rack Alpha | HWM®:43590098,0,HEALTHY,
DIP,21,16,5,13,8,BODYWEIGHT_GYMNASTICS|PLATE_LOADED_MACHINE|RACK_CAGE|UNKNOWN,4,1543:Power Rack Alpha | HWM®:43590098 | 934:Barras Paralelas Ajustables 77-98cm (Par) | HWM:18748638.5 | 1059:Multifuncional Smith ZR Series | PROmachine:15421831,0,HEALTHY,
ABDOMINAL_CRUNCH,0,0,0,0,0,,0,,0,SPARSE_BUT_VALID,Active capability with no published assignments; no assignment was invented.
ADDUCTOR,7,7,0,3,4,SELECTORIZED_MACHINE|UNKNOWN,5,1505:Dual Abductor / Aductor MO 2.0 | Obelix®:61567529 | 497:Dual Abductor/Aductor V8 Series | Obelix:17472774 | 1620:Pack Dúo Abductor/Aductor MO 2.0 | Obelix:10199915,0,SPARSE_BUT_VALID,Sparse but valid; registry muscle/pattern mapping remains intentionally pending.
ABDUCTOR,9,9,0,4,5,PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE|UNKNOWN,5,1505:Dual Abductor / Aductor MO 2.0 | Obelix®:61567529 | 497:Dual Abductor/Aductor V8 Series | Obelix:17472774 | 1620:Pack Dúo Abductor/Aductor MO 2.0 | Obelix:10199915,0,SPARSE_BUT_VALID,Sparse but valid; registry muscle/pattern mapping remains intentionally pending.
