productId,name,active,productFamily,baselineResolutionState,resolutionState,resolved,baselineCandidateCapabilities,expectedV2Concepts,v2ExerciseCapabilities,v2TrainingFunctions,v2ReviewCandidates,gapType,currentCoverageStatus,reason
494,Polea Cruzada Corta V8 Series | Obelix,true,CABLE_MACHINE,DATA_GAP,DATA_GAP,false,,,,CABLE_RESISTANCE,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
495,Polea Cruzada V8 Series | Obelix,true,CABLE_MACHINE,DATA_GAP,DATA_GAP,false,,,,CABLE_RESISTANCE,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1122,Multiestación de Poder 1.0 | Forza,true,UNKNOWN,DATA_GAP,DATA_GAP,false,,,,,,DATA_GAP,UNMODELED,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1427,Polea de Muro 1.0 ZR Series | PROmachine,true,CABLE_MACHINE,DATA_GAP,DATA_GAP,false,,,,CABLE_RESISTANCE,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1504,Dual Cuádriceps / Femoral Sentado MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,NEEDS_REVIEW,NEEDS_REVIEW,false,LEG_CURL|LEG_EXTENSION,,,,,QUALITY_REVIEW,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1508,Dual Press Pectoral / Hombros MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,NEEDS_REVIEW,NEEDS_REVIEW,false,CHEST_PRESS|SHOULDER_PRESS,,,,,QUALITY_REVIEW,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1516,Polea Cruzada MO 2.0 | Obelix®,true,CABLE_MACHINE,DATA_GAP,DATA_GAP,false,,,,CABLE_RESISTANCE,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1517,Polea Cruzada Corta MO 2.0 | Obelix®,true,CABLE_MACHINE,DATA_GAP,DATA_GAP,false,,,,CABLE_RESISTANCE,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1604,Powerlifting Combo Rack Heavy Duty | KONG,true,RACK_CAGE,AMBIGUOUS,AMBIGUOUS,false,,,,BARBELL_SUPPORT,,AMBIGUITY,UNMODELED,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1945,Pack Delta Basics | HWM®,true,UNKNOWN,AMBIGUOUS,AMBIGUOUS,false,,,,,,AMBIGUITY,UNMODELED,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1946,Pack Delta Pro | HWM®,true,UNKNOWN,AMBIGUOUS,AMBIGUOUS,false,,,,,,AMBIGUITY,UNMODELED,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1947,Pack Alpha Essentials | HWM®,true,UNKNOWN,AMBIGUOUS,AMBIGUOUS,false,,,,,,AMBIGUITY,UNMODELED,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1948,Pack Alpha Premium | HWM®,true,UNKNOWN,AMBIGUOUS,AMBIGUOUS,false,,,,,,AMBIGUITY,UNMODELED,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
2025,Multi Hip Extension | Peach Builder,true,PLATE_LOADED_MACHINE,DATA_GAP,DATA_GAP,false,,,,,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
2139,Polea Dual Multifuncional 70kg ZR Series | PROmachine,true,CABLE_MACHINE,DATA_GAP,DATA_GAP,false,,,,CABLE_RESISTANCE,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
2203,Dual Cuádriceps / Femoral Acostado MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,NEEDS_REVIEW,NEEDS_REVIEW,false,LEG_CURL|LEG_EXTENSION,,LEG_CURL,CABLE_RESISTANCE,,QUALITY_REVIEW,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
