productId,name,baselineResolutionState,decision,postResolutionState,resolved,exactBlocker,evidence,reason,changesRequired,requiredFutureEvidenceOrAction,v21ExerciseCapabilities,v21TrainingFunctions
494,Polea Cruzada Corta V8 Series | Obelix,DATA_GAP,RESOLVED_COMPLETE,SEMANTIC_COMPLETE,true,The input exposed cable resistance but did not encode the crossover geometry of the named station.,"canonical name ""Polea Cruzada Corta V8 Series""; productFamily CABLE_MACHINE; SEMANTIC_STRONG category ""Máquinas con Poleas"" (290).",Polea Cruzada is the canonical crossover geometry and is corroborated by the trusted cable-machine category.,Apply reusable V2.1 polea-cruzada geometry enrichment.,None for current V2 semantics.,,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE
495,Polea Cruzada V8 Series | Obelix,DATA_GAP,RESOLVED_COMPLETE,SEMANTIC_COMPLETE,true,The input exposed cable resistance but did not encode the crossover geometry of the named station.,"canonical name ""Polea Cruzada V8 Series""; productFamily CABLE_MACHINE; SEMANTIC_STRONG category ""Máquinas con Poleas"" (290).",Polea Cruzada is the canonical crossover geometry and is corroborated by the trusted cable-machine category.,Apply reusable V2.1 polea-cruzada geometry enrichment.,None for current V2 semantics.,,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE
1122,Multiestación de Poder 1.0 | Forza,DATA_GAP,KEEP_DATA_GAP,PRODUCT_SEMANTICS_DATA_GAP,false,Product Family is UNKNOWN and the trusted structured input has no station/module/mechanism declaration.,"canonical name ""Multiestación de Poder 1.0""; strong categories are Home Gym/Bancos/Máquinas Multifuncionales; no semantic family or mechanism feature.","Possible pull-up, dip and abdominal functions appear only in description text; they cannot override the missing upstream Product Family and module truth.",No Training Semantics assignment.,Enrich Product Semantic classification with canonical family and explicit station/module components.,,
1427,Polea de Muro 1.0 ZR Series | PROmachine,DATA_GAP,RESOLVED_COMPLETE,SEMANTIC_COMPLETE,true,The prior audit did not distinguish a wall-mounted single cable station from a multifunction/crossover station.,"canonical name ""Polea de Muro 1.0""; productFamily CABLE_MACHINE; SEMANTIC_STRONG category ""Máquinas con Poleas"" (290); semantic feature cable ratio 2:1.",The trusted Product Truth establishes one wall cable station and no explicit crossover geometry or exercise module. CABLE_RESISTANCE exhausts current V2 semantics.,No classifier or registry change; adjudication closes the completeness review.,None unless a separate explicit module is added to Product Truth.,,CABLE_RESISTANCE
1504,Dual Cuádriceps / Femoral Sentado MO 2.0 | Obelix®,NEEDS_REVIEW,RESOLVED_COMPLETE,SEMANTIC_COMPLETE,true,The dual seated quadriceps/femoral modules were retained as review candidates instead of direct capabilities.,"canonical name ""Dual Cuádriceps / Femoral Sentado""; productFamily SELECTORIZED_MACHINE; SEMANTIC_STRONG category ""Máquinas Selectorizadas"" (281).",The canonical product name explicitly identifies both seated leg-extension and leg-curl modules; V2.1 emits each independently.,Apply reusable V2.1 dual quadriceps/femoral module enrichment.,None for current V2 semantics.,LEG_CURL|LEG_EXTENSION,
1508,Dual Press Pectoral / Hombros MO 2.0 | Obelix®,NEEDS_REVIEW,RESOLVED_COMPLETE,SEMANTIC_COMPLETE,true,The named pectoral and shoulder press modules were retained as review candidates.,"canonical name ""Dual Press Pectoral / Hombros""; productFamily SELECTORIZED_MACHINE; SEMANTIC_STRONG category ""Máquinas Selectorizadas"" (281).",The canonical product name explicitly identifies pectoral and shoulder press modules; generic press names remain excluded.,Apply reusable V2.1 dual press module enrichment.,None for current V2 semantics.,CHEST_PRESS|SHOULDER_PRESS,
1516,Polea Cruzada MO 2.0 | Obelix®,DATA_GAP,RESOLVED_COMPLETE,SEMANTIC_COMPLETE,true,The input exposed cable resistance but did not encode the crossover geometry of the named station.,"canonical name ""Polea Cruzada MO 2.0""; productFamily CABLE_MACHINE; SEMANTIC_STRONG category ""Máquinas con Poleas"" (290).",Polea Cruzada is the canonical crossover geometry and is corroborated by the trusted cable-machine category.,Apply reusable V2.1 polea-cruzada geometry enrichment.,None for current V2 semantics.,,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE
1517,Polea Cruzada Corta MO 2.0 | Obelix®,DATA_GAP,RESOLVED_COMPLETE,SEMANTIC_COMPLETE,true,The input exposed cable resistance but did not encode the crossover geometry of the named station.,"canonical name ""Polea Cruzada Corta MO 2.0""; productFamily CABLE_MACHINE; SEMANTIC_STRONG category ""Máquinas con Poleas"" (290).",Polea Cruzada is the canonical crossover geometry and is corroborated by the trusted cable-machine category.,Apply reusable V2.1 polea-cruzada geometry enrichment.,None for current V2 semantics.,,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE
1604,Powerlifting Combo Rack Heavy Duty | KONG,AMBIGUOUS,RESOLVED_COMPLETE,SEMANTIC_COMPLETE,true,The prior state treated the explicit combo-rack support product as unresolved because powerlifting terminology was not allowed to infer exercises.,"canonical name ""Powerlifting Combo Rack Heavy Duty""; productFamily RACK_CAGE; SEMANTIC_STRONG categories ""Powerlifting Racks"" and ""Racks"".","BARBELL_SUPPORT is explicit and exhaustive for current V2 Product Truth. Powerlifting does not infer SQUAT, BENCH_PRESS or DEADLIFT.",No classifier or registry change; adjudication closes the support-only product.,None unless explicit pull-up/dip or another supported module is added.,,BARBELL_SUPPORT
1945,Pack Delta Basics | HWM®,AMBIGUOUS,KEEP_AMBIGUOUS,AMBIGUOUS,false,The pack exposes component labels but no governed component product IDs or configuration relationship.,"canonical name ""Pack Delta Basics""; PACKS/Packs Garage Gym categories; feature text lists bumpers, bar, atriles, collars and bench without component identity.",A package-level union cannot be defended from generic component labels; projecting support or exercise semantics would risk arbitrary inheritance.,No Training Semantics assignment.,Add trusted component membership/SKU relationships and a governed bundle projection policy.,,
