productFamily,products,semanticComplete,semanticPartial,verifiedNoApplicableCapability,ontologyGap,ruleGap,dataGap,ambiguous,needsReview,realSemanticResolutionRate
BENCH,8,8,0,0,0,0,0,0,0,100
BODYWEIGHT_GYMNASTICS,26,12,0,13,1,0,0,0,0,96.15
CABLE_MACHINE,39,8,0,21,4,0,6,0,0,74.36
CARDIO_MACHINE,33,0,0,33,0,0,0,0,0,100
MACHINE_ATTACHMENT,31,0,0,31,0,0,0,0,0,100
PLATE_LOADED_MACHINE,45,12,0,4,27,1,1,0,0,35.56
RACK_CAGE,19,8,0,6,4,0,0,1,0,73.68
ROPE_SLED,1,0,0,1,0,0,0,0,0,100
SELECTORIZED_MACHINE,23,15,0,0,4,1,0,0,3,65.22
UNKNOWN,15,5,1,3,1,0,1,4,0,53.33
