productId,name,active,revenue,catalogPresence,productFamily,candidateBodyRegion,candidateMuscleGroups,candidateCapabilities,candidatePatterns,candidateModality,evidence,classificationType,reviewQuestion
723,Pack 10 Palmetas de Caucho 100x100cm 15mm,1,121362549.000000,current_catalog,FLOORING,,,,,,name|category|feature,active_top_revenue,Does evidence indicate a direct training capability or only product family/marketing?
319,Palmeta de Caucho 100x100cm 15mm (Unidad),1,115669293.500000,current_catalog,FLOORING,,,,,,name|category|feature,active_top_revenue,Does evidence indicate a direct training capability or only product family/marketing?
1427,Polea de Muro 1.0 ZR Series | PROmachine,1,107054339.500000,current_catalog,CABLE_MACHINE,,,,,FUNCTIONAL|CABLE,name|category|feature,active_top_revenue,Does evidence indicate a direct training capability or only product family/marketing?
1237,Trotadora Comercial S1 Series LED | Obelix,1,105949473.000000,current_catalog,CARDIO_MACHINE,,,,,CARDIO,name|category|feature,active_top_revenue,Does evidence indicate a direct training capability or only product family/marketing?
679,Bicicleta de Spinning SP9 | Obelix,1,95919644.500000,current_catalog,CARDIO_MACHINE,,,,,CARDIO,name|category|feature,active_top_revenue,Does evidence indicate a direct training capability or only product family/marketing?
176,Crossover Lat Pulldown ZR Series | PROmachine,1,95687805.000000,current_catalog,CABLE_MACHINE,,BACK,LAT_PULLDOWN|PULL_UP,PULL,FUNCTIONAL|CABLE,name|category|feature,active_top_revenue,Is the named capability explicit for the complete product or only an attachment/variant?
638,Banco Regulable Amarillo Fluor | KONG,1,75856322.500300,current_catalog,BENCH,,,,,,name|category|feature,active_top_revenue,Does evidence indicate a direct training capability or only product family/marketing?
1238,Trotadora Comercial S1 Series TFT Touch | Obelix,1,75488526.000000,current_catalog,CARDIO_MACHINE,,,,,CARDIO,name|category|feature,active_top_revenue,Does evidence indicate a direct training capability or only product family/marketing?
1504,Dual Cuadriceps / Femoral Sentado MO 2.0 | Obelix,1,74825638.000000,current_catalog,SELECTORIZED_MACHINE,LOWER_BODY,QUADRICEPS|HAMSTRINGS,,,FUNCTIONAL,name|category|feature,active_top_revenue,Is the named capability explicit for the complete product or only an attachment/variant?
1125,Cajon Hip Thrust Acolchado | FullFit,1,73779695.200000,current_catalog,BENCH,,GLUTES,HIP_THRUST,HINGE,FUNCTIONAL,name|category|feature,active_top_revenue,Is the named capability explicit for the complete product or only an attachment/variant?
