code,canonicalName,definition,positiveEvidence,negativeBoundary,observedProductCount,activeCount,highValueExamples,ambiguities,decision
LEG_PRESS,Leg press,Machine designed for leg press,Explicit Leg Press or Prensa de Piernas in name,Do not infer from racks or generic leg equipment,6,0,451 Leg Press 45 degrees; 1227 Leg Press Solid Rock,All observed name candidates inactive; review current availability,KEEP_LATER
LEG_EXTENSION,Leg extension,Machine designed for knee extension,Explicit Extension de Cuadriceps or Leg Extension,Do not infer from multifunction benches without module evidence,8,3,1269 Extension de Cuadriceps; 492 Extension V8,Accent and variant normalization; packs,KEEP_V1
LEG_CURL,Leg curl,Machine designed for knee flexion,Explicit Curl Femoral or Leg Curl,Do not assign to generic lower-body machines,17,6,279 Curl Femoral; 1619 Pack Duo Leg Curl/Extension,Pack/module boundary,KEEP_V1
HIP_THRUST,Hip thrust,Product designed to position and support hip thrust,Explicit Hip Thrust in name and product function,Do not assign to every bench or box,31,19,1125 Cajon Hip Thrust; 1337 Banco Hip Thrust,Box or attachment may only facilitate,KEEP_V1
CHEST_PRESS,Chest press,Station designed for chest press,Explicit Press de Pectoral or Chest Press,Do not infer from bench or barbell,7,2,271 Press de Pectoral; 1265 Press MO 2.0,Machine family must be coherent,KEEP_V1
PEC_DECK,Pec deck,Station designed for pec deck or fly,Explicit Contractora de Pectoral or Pec Deck,Do not infer from any chest machine,1,0,272 Contractora de Pectoral,Only one explicit candidate and inactive,KEEP_V1
LAT_PULLDOWN,Lat pulldown,Station designed for lat pulldown,Explicit Lat Pulldown in name,Do not infer from any cable machine,5,2,176 Crossover Lat Pulldown; 899 Lat Pulldown,Crossover may contain multiple modules,KEEP_V1
ROW,Row,Station designed for rowing movement,Explicit Remo or Row plus coherent station,Do not treat every cable product as row,33,14,1506 Polea Alta Remo Bajo; 1885 Remo Sentado,Remo can occur in marketing or multi-module name,KEEP_V1
SHOULDER_PRESS,Shoulder press,Station designed for shoulder press,Explicit Press de Hombro or Shoulder Press,Do not infer from rack or barbell,6,2,259 Press de Hombro; 1500 Press MO 2.0,Separate press modules in multifunction products,KEEP_V1
BICEPS_CURL,Biceps curl,Station designed for biceps curl,Explicit Curl de Biceps in name,Do not infer from dumbbells or cable systems,2,0,256 Curl de Biceps; 488 Curl V8,No active explicit candidate in export,KEEP_LATER
TRICEPS_EXTENSION,Triceps extension,Station designed for triceps extension,Explicit Extension or Press de Triceps in name,Do not infer from every press or attachment,3,1,258 Extension de Triceps; 490 Press V8,Press and extension wording may differ by station,KEEP_LATER
PULL_UP,Pull-up or dominada,Product designed for pull-up capability,Explicit Barra Pull Ups Dominada or Pull Up,Do not infer from every rack,28,16,12 Barra Pull Ups Multigrip; 1501 Dominada Asistida,Machine versus support relation,KEEP_V1
DIP,Dip or fondo,Product designed for dip capability,Explicit Fondo Dip or support for dips,Do not infer from every bench,11,7,1119 Banco con Soporte para Fondos; 1856 Rack Pull Up Dip,Support wording needs adjudication,KEEP_V1
SQUAT,Squat,Product designed for squat capability,Explicit Hack Squat or dedicated squat station,Do not treat Squat Rack as direct exercise machine,70,24,1272 Hack Squat; 746 Squat Rack,High lexical ambiguity between rack and machine,KEEP_LATER
BENCH_PRESS,Bench press,Station or pack explicitly designed for bench press,Explicit Bench Press,Do not infer from any bench or barbell,1,0,987 Pack Press de Banco Home,Only pack evidence; no active explicit candidate,KEEP_LATER
DEADLIFT,Deadlift,Product explicitly designed for deadlift,Explicit Deadlift naming on autonomous equipment,Do not infer from every barbell or plate,1,1,1354 Deadlift Jack,Observed item is an accessory,KEEP_LATER
CALF_RAISE,Calf raise,Station designed for calf raise,Explicit Calf Raise or Elevacion de Gemelos,No explicit name evidence found,0,0,,No catalog name coverage,KEEP_LATER
ABDOMINAL_CRUNCH,Abdominal crunch,Product designed for abdominal crunch,Explicit Banco Abdominal or Abdominal machine with coherent function,Do not infer from every mat or bench,16,6,1280 Banco Abdominal; 151 AbMat,Accessory versus autonomous product,KEEP_V1
BACK_EXTENSION,Back extension,Station designed for back extension,Explicit Back Extension or Extension Lumbar,No explicit name evidence found,0,0,,No catalog name coverage,KEEP_LATER
GLUTE_KICKBACK,Glute kickback,Station designed for glute kickback,Explicit Patada de Gluteo or Glute Kickback,Do not infer from hip thrust or cable machines,2,0,282 Patada de Gluteo; 1384 Patada de Gluteo,Only inactive explicit candidates,KEEP_LATER
ADDUCTOR,Adductor,Station designed for adductor movement,Explicit Aductor or Dual Abductor/Aductor,Do not infer muscle from generic lower-body family,5,3,1505 Dual Abductor/Aductor; 497 Dual V8,Muscle mapping and dual station boundary,KEEP_V1
ABDUCTOR,Abductor,Station designed for abductor movement,Explicit Abductor or Dual Abductor/Aductor,Do not infer muscle from generic lower-body family,9,4,1505 Dual Abductor/Aductor; 497 Dual V8,Overlapping names and dual capability evidence,KEEP_V1
