productId,name,active,productFamily,currentCoverageStatus,currentAssignments,resolutionState,candidateCapabilities,missingCapabilities,evidenceSummary,gapType,confidence,revenue,orderLines,unitsSold,reason
1427,Polea de Muro 1.0 ZR Series | PROmachine,true,CABLE_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,107054339.5,622,672,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
1504,Dual Cuádriceps / Femoral Sentado MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,INSUFFICIENT_EVIDENCE,,NEEDS_REVIEW,LEG_EXTENSION|LEG_CURL,LEG_EXTENSION|LEG_CURL,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:LEG_CURL|LEG_EXTENSION,QUALITY_REVIEW,MEDIUM,74825638,60,60,"Multiple or multifunction V1 signals require product-level adjudication before publishing LEG_EXTENSION, LEG_CURL."
1273,Prensa Inclinada 45° Lineal MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,52789198,41,41,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1517,Polea Cruzada Corta MO 2.0 | Obelix®,true,CABLE_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,51724165,26,26,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
1455,Wall Crossover Black ZR Series | PROmachine,true,CABLE_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,41624731,36,36,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1272,Hack Squat Lineal MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,21103837,18,18,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.
1508,Dual Press Pectoral / Hombros MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,INSUFFICIENT_EVIDENCE,,NEEDS_REVIEW,CHEST_PRESS|SHOULDER_PRESS,CHEST_PRESS|SHOULDER_PRESS,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:CHEST_PRESS|SHOULDER_PRESS,QUALITY_REVIEW,MEDIUM,19407474,15,15,"Multiple or multifunction V1 signals require product-level adjudication before publishing CHEST_PRESS, SHOULDER_PRESS."
1122,Multiestación de Poder 1.0 | Forza,true,UNKNOWN,UNMODELED,,DATA_GAP,,,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,18554900.5,254,258,Product Family is UNKNOWN; exact missing data: trusted semantic category and/or structured feature evidence needed to distinguish training function from generic merchandise.
494,Polea Cruzada Corta V8 Series | Obelix,true,CABLE_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,17920935,7,8,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
1604,Powerlifting Combo Rack Heavy Duty | KONG,true,RACK_CAGE,UNMODELED,,AMBIGUOUS,,,PRODUCT_FAMILY:RACK_CAGE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,AMBIGUITY,MEDIUM,17576531,13,15,Pack or multi-use wording prevents a deterministic product-level capability decision.
