productId,name,active,productFamily,baselineResolutionState,resolutionState,resolved,baselineCandidateCapabilities,v21ExerciseCapabilities,v21TrainingFunctions,v21ReviewCandidates,gapType,exactBlocker,requiredFutureEvidenceOrAction,reason
12,Barra Pull Ups Multigrip 2.0 | HWM®,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,PULL_UP,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
53,Par Anillas Olímpicas de Gimnasia Pvc | HWM®,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
54,Par Anillas Olímpicas de Gimnasia Madera | HWM®,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
81,Par Collarines Olímpicos de PVC 50mm Negro | HWM®,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
87,Heavy Speed Rope | HWM®,true,ROPE_SLED,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
176,Crossover Lat Pulldown ZR Series | PROmachine,true,CABLE_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,LAT_PULLDOWN|PULL_UP,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
177,Barra Pull Ups 1.0 | HWM®,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,PULL_UP,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
258,Extensión de Tríceps MO Series | Obelix,true,UNKNOWN,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,TRICEPS_EXTENSION,,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
300,Par Barras Paralelas 17cm | HWM®,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
301,Barras Paralelas 34cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
302,Barras Paralelas 70cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
388,Par Push Ups 1.0 | FullFit,true,UNKNOWN,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,DIP|PULL_UP,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,RULE_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
430,Bicicleta de Spinning Move | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
435,Set 10 Body Pump + Rack | FullFit,true,RACK_CAGE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,BARBELL_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
437,Soga de Tríceps - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
454,Barra Lat Pull Down - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
455,Barra Corta Recta - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
462,Agarre Manilla Simple de Acero - Accesorio Polea (Unidad) | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
463,Par Ankle Straps de Cuero | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
466,Agarre Remo Neutro - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
485,Press de Hombro V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,SHOULDER_PRESS,SHOULDER_PRESS,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
486,Press de Pectoral V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,CHEST_PRESS,CHEST_PRESS,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
487,Curl Femoral Sentado V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LEG_CURL,LEG_CURL,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
489,Remo Sentado V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ROW,ROW,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
491,Prensa Horizontal Sentado V8 Series | Obelix,true,PLATE_LOADED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,LEG_PRESS,,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
494,Polea Cruzada Corta V8 Series | Obelix,true,CABLE_MACHINE,DATA_GAP,SEMANTIC_COMPLETE,true,,,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE,,DATA_GAP,The input exposed cable resistance but did not encode the crossover geometry of the named station.,None for current V2 semantics.,Polea Cruzada is the canonical crossover geometry and is corroborated by the trusted cable-machine category.
495,Polea Cruzada V8 Series | Obelix,true,CABLE_MACHINE,DATA_GAP,SEMANTIC_COMPLETE,true,,,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE,,DATA_GAP,The input exposed cable resistance but did not encode the crossover geometry of the named station.,None for current V2 semantics.,Polea Cruzada is the canonical crossover geometry and is corroborated by the trusted cable-machine category.
