productId,name,active,productFamily,baselineResolutionState,resolutionState,resolved,baselineCandidateCapabilities,expectedV2Concepts,v2ExerciseCapabilities,v2TrainingFunctions,v2ReviewCandidates,gapType,currentCoverageStatus,reason
12,Barra Pull Ups Multigrip 2.0 | HWM®,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,PULL_UP,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
53,Par Anillas Olímpicas de Gimnasia Pvc | HWM®,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
54,Par Anillas Olímpicas de Gimnasia Madera | HWM®,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
81,Par Collarines Olímpicos de PVC 50mm Negro | HWM®,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
87,Heavy Speed Rope | HWM®,true,ROPE_SLED,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
176,Crossover Lat Pulldown ZR Series | PROmachine,true,CABLE_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,LAT_PULLDOWN|PULL_UP,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
177,Barra Pull Ups 1.0 | HWM®,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,PULL_UP,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
258,Extensión de Tríceps MO Series | Obelix,true,UNKNOWN,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,TRICEPS_EXTENSION,TRICEPS_EXTENSION,,,ONTOLOGY_GAP,INSUFFICIENT_EVIDENCE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
300,Par Barras Paralelas 17cm | HWM®,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
301,Barras Paralelas 34cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
