productId,name,active,productFamily,currentCoverageStatus,currentAssignments,resolutionState,candidateCapabilities,missingCapabilities,evidenceSummary,gapType,confidence,revenue,orderLines,unitsSold,reason
12,Barra Pull Ups Multigrip 2.0 | HWM®,true,BODYWEIGHT_GYMNASTICS,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,7203219,98,99,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
53,Par Anillas Olímpicas de Gimnasia Pvc | HWM®,true,BODYWEIGHT_GYMNASTICS,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,4633694.15,194,336,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
54,Par Anillas Olímpicas de Gimnasia Madera | HWM®,true,BODYWEIGHT_GYMNASTICS,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,16071668.5,554,786,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
81,Par Collarines Olímpicos de PVC 50mm Negro | HWM®,true,MACHINE_ATTACHMENT,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:MACHINE_ATTACHMENT|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,17710877,1391,2084,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
87,Heavy Speed Rope | HWM®,true,ROPE_SLED,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:ROPE_SLED|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,7103476.9999,431,538,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
176,Crossover Lat Pulldown ZR Series | PROmachine,true,CABLE_MACHINE,UNMODELED,"{""capabilityCode"":""LAT_PULLDOWN"",""relationType"":""DIRECT""}|{""capabilityCode"":""PULL_UP"",""relationType"":""SUPPORTED""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,95687805,186,186,Published assignments cover the trusted V1 capability signals observed for the product.
177,Barra Pull Ups 1.0 | HWM®,true,BODYWEIGHT_GYMNASTICS,UNMODELED,"{""capabilityCode"":""PULL_UP"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,9459296,192,203,Published assignments cover the trusted V1 capability signals observed for the product.
258,Extensión de Tríceps MO Series | Obelix,true,UNKNOWN,INSUFFICIENT_EVIDENCE,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:TRICEPS_EXTENSION|PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,4299957,6,6,Product is a credible dedicated machine for deferred capability TRICEPS_EXTENSION; the current V1 registry intentionally cannot represent it.
300,Par Barras Paralelas 17cm | HWM®,true,BODYWEIGHT_GYMNASTICS,UNMODELED,"{""capabilityCode"":""DIP"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,4529464.5,142,146,Published assignments cover the trusted V1 capability signals observed for the product.
301,Barras Paralelas 34cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,UNMODELED,"{""capabilityCode"":""DIP"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,5102945,114,123,Published assignments cover the trusted V1 capability signals observed for the product.
