productFamily,totalProducts,activeProducts,productsWithTrainingAssignments,coveragePercent,directAssignments,supportedAssignments,unmodeled,insufficientEvidence,noCapabilityApplicable,needsReview
APPAREL,48,2,0,0,0,0,46,0,2,0
BALL_BAG,89,50,0,0,0,0,85,0,4,0
BAND_SUSPENSION,20,17,0,0,0,0,6,0,14,0
BARBELL,132,62,0,0,0,0,0,0,132,0
BENCH,141,64,15,10.64,15,0,15,0,126,0
BODYWEIGHT_GYMNASTICS,50,26,23,46,24,0,45,0,5,0
CABLE_MACHINE,77,39,21,27.27,32,1,30,17,30,0
CARDIO_MACHINE,78,33,0,0,0,0,75,3,0,0
DUMBBELL,205,80,0,0,0,0,0,0,205,0
FLOORING,61,24,0,0,0,0,0,0,61,0
KETTLEBELL,40,25,0,0,0,0,40,0,0,0
MACHINE_ATTACHMENT,53,31,0,0,0,0,19,0,34,0
PLATE_LOADED_MACHINE,87,45,31,35.63,26,6,81,4,2,0
PROTECTIVE_GEAR,140,99,0,0,0,0,0,0,140,0
RACK_CAGE,64,19,12,18.75,0,14,61,1,2,0
RECOVERY_TOOL,22,17,0,0,0,0,22,0,0,0
ROPE_SLED,25,14,0,0,0,0,23,0,2,0
SELECTORIZED_MACHINE,52,23,34,65.38,36,2,42,10,0,0
STORAGE,32,30,0,0,0,0,0,0,32,0
UNKNOWN,330,89,21,6.36,24,0,293,9,28,0
WEIGHT_PLATE,248,91,0,0,0,0,186,0,62,0
YOGA_PILATES,17,9,0,0,0,0,17,0,0,0
