productId,name,active,revenue,productFamily,likelyCapability,whyEvidenceIsInsufficient,humanReviewWorthwhile,classification,reviewQuestion
256,Curl de Bíceps MO Series | Obelix,false,6520854,SELECTORIZED_MACHINE,BICEPS_CURL,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
257,Press de Tríceps MO Series | Obelix,false,3699963,SELECTORIZED_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
258,Extensión de Tríceps MO Series | Obelix,true,4299957,UNKNOWN,TRICEPS_EXTENSION,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
288,Polea Cruzada MO Series | Obelix,false,9009948,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
289,Polea Cruzada Corta MO Series | Obelix,false,22671887,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
344,Abdominal / Fondo PROmachine,false,0,UNKNOWN,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
345,Polea Cruzada PROmachine,false,0,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
350,Abdominal / Fondo Multi Press PROmachine,false,0,UNKNOWN,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
355,Polea Cruzada JR Serie PROmachine,false,0,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
451,Leg Press 45° V8 Series | Obelix,false,13344910,PLATE_LOADED_MACHINE,LEG_PRESS,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
